roll,reason
1202526010064,no_receipt
1202526010070,no_receipt
1202526010183,no_receipt
1202526010237,no_receipt
1202526010303,no_receipt
1202526010318,no_receipt
1202526010325,no_receipt
1202526010338,no_receipt
1202526010346,no_receipt
1202526010381,no_receipt
1202526010402,no_receipt
1202526010459,no_receipt
1202526010490,no_receipt
1202526010543,no_receipt
1202526010558,no_receipt
1202526010613,no_receipt
1202526010645,no_receipt
1202526010674,no_receipt
1202526010761,no_receipt
1202526010828,no_receipt
1202526010834,no_receipt
1202526010852,no_receipt
1202526010853,no_receipt
1202526010862,no_receipt
1202526010897,no_receipt
1202526010900,no_receipt
1202526020006,no_receipt
1202526020011,no_receipt
1202526020048,no_receipt
1202526020067,no_receipt
1202526020070,no_receipt
1202526020121,no_receipt
1202526020123,no_receipt
1202526020136,no_receipt
1202526020144,no_receipt
1202526020145,no_receipt
1202526020146,no_receipt
1202526020147,no_receipt
1202526020148,no_receipt
1202526020149,no_receipt
1202526020150,no_receipt
1202526030006,no_receipt
1202526030040,no_receipt
1202526030051,no_receipt
1202526030102,no_receipt
1202526030123,no_receipt
1202526030141,no_receipt
1202526030143,no_receipt
